loco id,loco type,zone,manufacture year,cycle,totalcycles,days since service,engine temp   (C),oil pressure (bar),vibration    (mms),fuel efficiency (%),coolant temp (C),bearing temp  (C),RPM,exhaust temp (C),turbo pressure (bar),load factor (%),battery voltage (V),brake pressure (bar),RU,failure label,risk category
WDG4-1001,WDG4,NR,2014,25,174,36,84.289,3.202,1.962,93.575,74.893,59.382,895.713,332.137,1.871,66.455,24.891,4.265,149,0,Low
WDG4-1001,WDG4,NR,2014,26,174,38,80.96,3.576,2.5,94.6,77.811,59.631,869.398,320.839,1.8,71.523,24.35,4.213,148,0,Low
WDG4-1001,WDG4,NR,2014,27,174,40,87.565,3.462,2.069,91.937,75.135,59.774,882.094,317.418,1.68,75.383,23.637,3.915,147,0,Low
WDG4-1001,WDG4,NR,2014,28,174,42,80.571,3.147,1.456,94.393,74.681,62.715,883.59,317.73,1.849,78.877,24.194,3.705,146,0,Low
WDG4-1001,WDG4,NR,2014,29,174,44,84.875,3.529,2.029,93.128,73.902,61.072,881.475,333.164,1.718,71.248,24.453,3.978,145,0,Low
WDG4-1001,WDG4,NR,2014,30,174,46,84.397,3.509,2.013,92.171,73.304,57.509,910.429,310.226,1.875,77.433,23.53,4.331,144,0,Low
WDG4-1001,WDG4,NR,2014,31,174,48,88.861,3.44,2.261,96.667,82.597,60.328,884.725,315.946,1.863,77.071,24.235,3.644,143,0,Low
WDG4-1001,WDG4,NR,2014,32,174,50,83.715,3.502,2.004,93.473,70.2,58.398,829.441,314.348,1.734,68.95,23.595,4.328,142,0,Low
WDG4-1001,WDG4,NR,2014,33,174,52,83.771,3.141,1.931,95.631,77.378,64.147,889.902,301.055,1.867,68.791,24.293,4.282,141,0,Low
WDG4-1001,WDG4,NR,2014,34,174,54,80.994,3.065,1.749,94.957,72.253,61.14,862.901,350.692,1.626,72.973,23.917,3.869,140,0,Low
WDG4-1001,WDG4,NR,2014,35,174,56,83.225,3.358,1.781,92.933,77.496,61.965,903.789,333.168,1.806,74.265,23.61,4.128,139,0,Low
WDG4-1001,WDG4,NR,2014,36,174,58,84.529,3.603,2.271,94.197,75.484,61.455,901.441,332.323,1.838,85.767,24.343,3.832,138,0,Low
WDG4-1001,WDG4,NR,2014,37,174,60,78.486,3.559,2.403,93.753,75.472,61.151,909.178,330.794,1.599,78.549,24.099,3.88,137,0,Low
WDG4-1001,WDG4,NR,2014,38,174,62,85.077,3.378,1.685,92.017,77.33,60.48,892.461,321.324,1.725,68.09,23.951,4.135,136,0,Low
WDG4-1001,WDG4,NR,2014,39,174,64,85.688,3.285,2.227,94.29,73.64,56.395,859.702,317.716,1.748,74.654,23.291,3.96,135,0,Low
WDG4-1001,WDG4,NR,2014,40,174,66,82.031,3.503,1.744,95.849,74.416,59.923,868.622,310.759,1.678,75.126,24.016,4.186,134,0,Low
WDG4-1001,WDG4,NR,2014,41,174,68,83.551,3.43,2.041,91.177,74.801,62.182,902.111,329.734,1.74,72.294,24.011,4.4,133,0,Low
WDG4-1001,WDG4,NR,2014,42,174,70,85.175,3.306,1.94,94.636,72.45,61.001,900.821,304.338,1.779,71.561,24.116,3.966,132,0,Low
WDG4-1001,WDG4,NR,2014,43,174,72,79.327,3.449,2.52,91.796,76.489,60.497,911.3,319.499,1.496,75.971,23.702,4.186,131,0,Low
WDG4-1001,WDG4,NR,2014,44,174,74,83.973,3.353,2.152,93.915,75.865,62.783,906.918,309.028,1.697,68.256,23.157,4.121,130,0,Low
WDG4-1001,WDG4,NR,2014,45,174,76,83.254,3.681,2.131,92.147,76.44,59.837,893.78,321.344,1.627,75.119,24.034,4.167,129,0,Low
WDG4-1001,WDG4,NR,2014,46,174,78,84.071,3.247,2.104,94.62,74.923,61.178,881.922,315.887,1.942,63.622,23.747,3.958,128,0,Low
WDG4-1001,WDG4,NR,2014,47,174,80,80.816,3.177,2.367,94.96,77.456,60.968,880.074,308.948,1.647,71.487,24.015,4.003,127,0,Low
WDG4-1001,WDG4,NR,2014,48,174,82,84.169,3.355,2.205,91.863,75.752,62.302,878.83,308.519,1.619,76.634,24.09,4.518,126,0,Low
WDG4-1001,WDG4,NR,2014,49,174,84,84.358,3.433,1.643,91.837,76.566,64.65,878.874,309.127,1.802,73.623,24.85,3.992,125,0,Low
WDG4-1001,WDG4,NR,2014,50,174,86,85.021,3.648,1.624,92.912,78.342,64.131,911.187,317.428,1.784,80.504,23.821,4.208,124,0,Low
WDG4-1001,WDG4,NR,2014,51,174,88,84.505,3.405,2.301,92.151,72.76,63.025,875.104,316.314,1.776,72.686,24.143,4.067,123,0,Low
WDG4-1001,WDG4,NR,2014,52,174,90,85.063,3.529,1.977,92.435,76.929,62.589,887.412,310.9,1.852,72.932,24.242,4.227,122,0,Low
WDG4-1001,WDG4,NR,2014,53,174,92,85.506,3.264,2.312,93.968,75.046,60.877,898.278,327.336,1.836,73.718,23.204,4.101,121,0,Low
WDG4-1001,WDG4,NR,2014,54,174,94,85.87,3.514,1.779,95.257,75.302,61.768,913.176,312.947,1.66,79.214,24.139,4.179,120,0,Low
WDG4-1001,WDG4,NR,2014,55,174,96,82.216,3.448,2.471,93.34,81.515,61.091,887.256,315.094,1.677,72.182,23.778,4.171,119,0,Low
WDG4-1001,WDG4,NR,2014,56,174,98,85.668,3.278,2.143,94.321,75.917,62.308,865.683,301.638,1.76,80.695,23.431,4.258,118,0,Low
WDG4-1001,WDG4,NR,2014,57,174,100,82.335,3.345,1.735,93.379,75.545,62.891,891.172,309.202,1.632,68.565,24.27,4.35,117,0,Low
WDG4-1001,WDG4,NR,2014,58,174,102,84.936,3.206,1.669,94.156,72.818,63.582,912.753,327.639,1.753,79.169,23.999,4.102,116,0,Low
WDG4-1001,WDG4,NR,2014,59,174,104,84.299,3.34,1.988,92.075,79.952,61.127,903.387,324.549,1.694,75.818,23.125,3.927,115,0,Low
WDG4-1001,WDG4,NR,2014,60,174,106,78.586,3.184,2.0,92.027,80.473,59.263,872.951,327.949,1.739,72.717,23.226,3.952,114,0,Low
WDG4-1001,WDG4,NR,2014,61,174,108,81.668,3.571,2.185,92.501,75.453,61.638,877.552,317.146,1.816,68.289,23.393,3.874,113,0,Low
WDG4-1001,WDG4,NR,2014,62,174,110,84.316,3.084,2.011,91.019,74.387,60.404,898.104,330.203,1.746,73.141,23.258,3.746,112,0,Low
WDG4-1001,WDG4,NR,2014,63,174,112,77.675,3.202,2.461,94.736,74.754,60.287,897.662,314.677,1.829,62.171,24.42,4.315,111,0,Low
WDG4-1001,WDG4,NR,2014,64,174,114,81.491,3.478,2.476,92.615,73.668,61.553,938.024,335.529,1.663,69.766,23.797,4.497,110,0,Low
WDG4-1001,WDG4,NR,2014,65,174,116,84.086,3.315,1.703,94.441,78.063,62.48,908.683,330.63,1.747,82.482,22.99,4.114,109,0,Low
WDG4-1001,WDG4,NR,2014,66,174,118,82.624,3.319,1.689,91.615,77.218,64.423,904.315,335.076,1.668,64.15,23.275,4.185,108,0,Low
WDG4-1001,WDG4,NR,2014,67,174,120,83.931,3.474,2.035,94.057,77.72,62.443,886.838,338.634,1.891,67.876,24.144,4.734,107,0,Low
WDG4-1001,WDG4,NR,2014,68,174,122,83.219,3.096,2.335,90.322,74.918,64.345,914.777,319.839,1.603,70.213,23.967,4.252,106,0,Low
WDG4-1001,WDG4,NR,2014,69,174,124,82.135,3.38,2.191,89.243,78.605,59.466,928.814,314.79,1.769,80.219,24.084,3.731,105,0,Low
WDG4-1001,WDG4,NR,2014,70,174,126,82.969,3.382,2.274,93.374,73.524,63.03,873.593,350.403,1.718,59.299,24.008,3.77,104,0,Low
WDG4-1001,WDG4,NR,2014,71,174,128,85.762,3.317,2.136,91.786,79.736,61.653,890.764,332.181,1.652,73.08,23.583,4.278,103,0,Low
WDG4-1001,WDG4,NR,2014,72,174,130,85.967,3.439,1.758,90.268,77.217,63.357,918.468,319.279,1.774,67.275,23.811,4.082,102,0,Low
WDG4-1001,WDG4,NR,2014,73,174,132,86.331,3.541,1.898,93.052,74.506,61.886,919.81,325.165,1.744,73.403,23.89,4.193,101,0,Low
WDG4-1001,WDG4,NR,2014,74,174,134,88.175,3.047,2.304,91.153,73.78,62.052,905.858,326.303,1.727,65.766,23.742,3.797,100,0,Low
WDG4-1001,WDG4,NR,2014,75,174,136,86.087,3.312,2.22,94.07,76.816,61.398,897.066,323.857,1.764,82.237,23.757,3.884,99,0,Low
WDG4-1001,WDG4,NR,2014,76,174,138,82.995,3.275,2.448,92.03,76.725,63.125,897.683,332.31,1.651,65.873,23.101,3.763,98,0,Low
WDG4-1001,WDG4,NR,2014,77,174,140,89.583,3.098,2.061,92.008,74.447,61.852,899.987,317.638,1.57,70.519,23.806,3.919,97,0,Low
WDG4-1001,WDG4,NR,2014,78,174,142,85.278,3.08,2.376,89.11,79.315,62.898,892.608,333.766,1.741,75.289,22.892,4.184,96,0,Low
WDG4-1001,WDG4,NR,2014,79,174,144,79.568,3.141,2.164,90.802,74.373,62.742,900.425,342.399,1.585,73.763,23.95,4.101,95,0,Low
WDG4-1001,WDG4,NR,2014,80,174,146,77.829,3.2,2.238,91.115,74.261,62.891,895.175,328.471,1.613,80.256,23.596,4.015,94,0,Low
WDG4-1001,WDG4,NR,2014,81,174,148,86.436,3.177,2.495,92.933,79.02,58.706,880.549,302.818,1.755,74.871,24.007,4.033,93,0,Low
WDG4-1001,WDG4,NR,2014,82,174,150,85.596,3.246,2.093,95.946,75.006,62.566,868.869,328.662,1.662,66.473,24.016,3.883,92,0,Low
WDG4-1001,WDG4,NR,2014,83,174,152,87.919,3.493,1.678,89.966,77.806,60.286,904.52,334.617,1.767,73.163,24.256,4.043,91,0,Low
WDG4-1001,WDG4,NR,2014,84,174,154,87.399,3.5,1.969,93.789,79.005,58.608,869.581,322.244,1.738,76.572,23.869,4.03,90,0,Low
WDG4-1001,WDG4,NR,2014,85,174,156,91.115,3.451,2.16,92.101,78.468,59.738,915.719,329.555,1.812,73.638,24.313,4.052,89,0,Low
WDG4-1001,WDG4,NR,2014,86,174,158,84.096,3.42,2.335,96.058,80.706,58.843,901.118,336.643,1.6,78.268,24.036,3.988,88,0,Low
WDG4-1001,WDG4,NR,2014,87,174,160,86.301,3.25,2.402,93.554,77.081,60.578,828.33,323.421,1.696,73.791,24.285,4.01,87,0,Low
WDG4-1001,WDG4,NR,2014,88,174,162,84.853,3.29,2.321,90.944,80.544,61.135,884.099,337.533,1.619,68.867,23.833,4.032,86,0,Low
WDG4-1001,WDG4,NR,2014,89,174,164,84.668,3.272,2.316,92.892,75.76,62.099,889.606,341.893,1.686,69.625,23.875,4.027,85,0,Low
WDG4-1001,WDG4,NR,2014,90,174,166,80.034,3.287,2.467,94.09,75.876,62.472,867.942,322.915,1.642,74.536,24.091,4.152,84,0,Low
WDG4-1001,WDG4,NR,2014,91,174,168,84.392,3.339,2.355,92.906,77.416,60.042,852.383,337.274,1.616,77.888,23.391,3.841,83,0,Low
WDG4-1001,WDG4,NR,2014,92,174,170,87.179,3.399,1.913,93.332,76.375,58.353,867.57,328.334,1.567,68.187,23.226,3.806,82,0,Low
WDG4-1001,WDG4,NR,2014,93,174,172,83.212,3.148,2.478,93.231,80.772,60.783,888.541,327.953,1.729,71.434,22.99,4.233,81,0,Low
WDG4-1001,WDG4,NR,2014,94,174,174,88.866,3.288,2.467,95.669,76.971,58.648,897.038,318.483,1.795,77.158,23.657,3.849,80,0,Low
WDG4-1001,WDG4,NR,2014,95,174,176,88.904,3.206,2.57,91.925,79.154,64.655,916.481,336.471,1.714,68.323,23.944,4.432,79,0,Low
WDG4-1001,WDG4,NR,2014,96,174,178,83.588,3.123,2.543,91.845,80.498,60.877,857.323,333.446,1.617,73.465,23.653,3.969,78,0,Low
WDG4-1001,WDG4,NR,2014,97,174,180,85.749,3.373,1.893,91.144,81.234,63.054,904.67,326.549,1.606,74.724,23.731,3.928,77,0,Low
WDG4-1001,WDG4,NR,2014,98,174,0,82.467,3.227,2.287,91.131,83.179,64.151,890.164,335.761,1.526,68.077,23.488,3.91,76,0,Low
WDG4-1001,WDG4,NR,2014,99,174,2,84.141,3.275,2.331,92.812,78.598,60.782,895.383,331.529,1.556,79.918,23.408,4.062,75,0,Low
WDG4-1001,WDG4,NR,2014,100,174,4,86.183,3.126,2.378,93.526,82.03,58.872,888.207,333.336,1.794,71.179,23.703,3.941,74,0,Low
WDG4-1001,WDG4,NR,2014,101,174,6,83.763,3.255,2.261,90.896,74.457,63.384,897.169,330.202,1.641,69.267,23.905,3.955,73,0,Low
WDG4-1001,WDG4,NR,2014,102,174,8,80.473,3.395,2.45,91.346,74.395,65.011,870.642,338.637,1.704,77.72,23.75,3.746,72,0,Low
WDG4-1001,WDG4,NR,2014,103,174,10,86.722,3.175,2.273,92.884,75.518,60.893,909.138,347.683,1.656,69.545,23.229,4.045,71,0,Low
WDG4-1001,WDG4,NR,2014,104,174,12,89.366,3.29,2.277,90.452,76.648,65.361,886.979,317.822,1.649,72.219,23.473,3.532,70,0,Low
WDG4-1001,WDG4,NR,2014,105,174,14,83.786,3.172,2.422,92.7,75.901,62.333,885.394,337.444,1.712,68.52,23.59,3.938,69,0,Low
WDG4-1001,WDG4,NR,2014,106,174,16,90.651,3.022,2.637,92.978,81.43,62.136,910.4,325.422,1.636,70.557,23.327,3.949,68,0,Low
WDG4-1001,WDG4,NR,2014,107,174,18,82.925,2.967,2.004,90.514,82.789,66.642,868.144,327.631,1.652,70.512,23.991,3.97,67,0,Low
WDG4-1001,WDG4,NR,2014,108,174,20,84.487,3.282,2.457,94.016,78.783,63.887,925.515,337.721,1.73,60.607,23.336,4.309,66,0,Low
WDG4-1001,WDG4,NR,2014,109,174,22,83.431,3.386,2.098,91.084,79.03,59.063,890.023,317.286,1.723,74.259,23.66,4.212,65,0,Low
WDG4-1001,WDG4,NR,2014,110,174,24,85.631,3.32,2.547,92.076,76.97,60.332,889.827,327.082,1.588,65.2,23.934,3.968,64,0,Low
WDG4-1001,WDG4,NR,2014,111,174,26,83.47,3.224,2.609,91.158,77.51,62.762,863.608,332.406,1.693,72.21,22.784,3.696,63,0,Low
WDG4-1001,WDG4,NR,2014,112,174,28,87.721,3.523,2.333,91.329,77.58,62.337,859.962,321.555,1.708,76.953,23.829,3.679,62,0,Low
WDG4-1001,WDG4,NR,2014,113,174,30,90.305,3.404,2.41,93.937,76.36,62.165,859.602,342.876,1.703,75.542,23.794,3.749,61,0,Low
WDG4-1001,WDG4,NR,2014,114,174,32,88.381,3.152,2.608,94.345,75.431,60.763,910.364,325.549,1.65,65.631,23.943,4.296,60,0,Medium
WDG4-1001,WDG4,NR,2014,115,174,34,91.35,3.066,2.428,91.214,74.293,63.043,889.722,341.87,1.731,75.655,24.047,3.774,59,0,Medium
WDG4-1001,WDG4,NR,2014,116,174,36,85.81,3.064,2.595,88.57,81.164,62.059,873.012,336.624,1.585,59.626,23.59,4.08,58,0,Medium
WDG4-1001,WDG4,NR,2014,117,174,38,85.515,3.253,2.122,92.796,74.986,63.745,896.573,320.321,1.572,72.349,23.449,4.095,57,0,Medium
WDG4-1001,WDG4,NR,2014,118,174,40,90.163,3.362,2.086,92.647,78.32,58.49,868.677,335.451,1.58,67.914,23.603,4.097,56,0,Medium
WDG4-1001,WDG4,NR,2014,119,174,42,85.626,3.204,2.705,90.921,77.594,63.242,902.69,321.612,1.549,74.714,23.986,3.973,55,0,Medium
WDG4-1001,WDG4,NR,2014,120,174,44,85.891,3.056,2.47,94.656,78.771,59.181,871.232,331.23,1.558,71.874,23.701,3.792,54,0,Medium
WDG4-1001,WDG4,NR,2014,121,174,46,90.445,3.223,2.28,90.901,81.018,64.377,882.229,342.397,1.7,73.424,24.223,3.863,53,0,Medium
WDG4-1001,WDG4,NR,2014,122,174,48,85.859,3.583,2.228,90.251,71.489,62.014,905.57,330.821,1.642,77.393,24.046,4.28,52,0,Medium
WDG4-1001,WDG4,NR,2014,123,174,50,87.344,2.957,2.328,89.814,77.05,63.08,882.525,312.986,1.639,63.076,23.828,3.891,51,0,Medium
WDG4-1001,WDG4,NR,2014,124,174,52,88.626,3.319,2.523,91.212,80.435,60.65,865.944,314.628,1.626,74.244,23.379,4.012,50,0,Medium
WDG4-1001,WDG4,NR,2014,125,174,54,85.704,3.217,2.609,92.244,77.853,62.044,883.786,313.733,1.718,81.084,23.945,4.133,49,0,Medium
WDG4-1001,WDG4,NR,2014,126,174,56,89.825,3.157,2.171,88.581,77.709,66.393,892.952,345.884,1.537,63.197,23.589,3.775,48,0,Medium
WDG4-1001,WDG4,NR,2014,127,174,58,82.379,3.392,2.032,93.637,77.837,60.58,856.861,335.69,1.634,61.55,23.058,4.245,47,0,Medium
WDG4-1001,WDG4,NR,2014,128,174,60,82.444,3.096,2.114,90.588,75.625,63.456,871.013,316.707,1.766,75.323,23.714,4.432,46,0,Medium
WDG4-1001,WDG4,NR,2014,129,174,62,87.556,3.032,2.36,91.06,78.762,61.42,860.392,333.96,1.701,66.117,23.271,3.673,45,0,Medium
WDG4-1001,WDG4,NR,2014,130,174,64,89.166,3.344,2.754,90.377,77.422,63.123,875.32,345.938,1.602,62.792,24.015,3.778,44,0,Medium
WDG4-1001,WDG4,NR,2014,131,174,66,90.791,3.423,2.092,92.577,80.076,65.432,919.649,314.137,1.607,68.644,23.365,3.781,43,0,Medium
WDG4-1001,WDG4,NR,2014,132,174,68,83.186,3.215,2.622,95.953,75.904,61.423,878.748,340.774,1.703,67.82,23.247,3.654,42,0,Medium
WDG4-1001,WDG4,NR,2014,133,174,70,85.282,3.215,2.08,92.159,79.707,61.772,886.42,335.738,1.683,68.758,23.323,4.206,41,0,Medium
WDG4-1001,WDG4,NR,2014,134,174,72,83.718,3.102,2.873,91.767,80.546,62.897,894.465,323.038,1.603,62.037,23.264,4.007,40,0,Medium
WDG4-1001,WDG4,NR,2014,135,174,74,90.015,3.236,2.075,90.481,78.145,64.446,846.266,305.244,1.594,69.045,24.376,4.095,39,0,Medium
WDG4-1001,WDG4,NR,2014,136,174,76,90.187,3.541,2.16,88.166,82.539,64.762,850.184,326.604,1.699,69.679,23.721,4.422,38,0,Medium
WDG4-1001,WDG4,NR,2014,137,174,78,82.15,3.205,1.941,89.991,79.663,63.289,854.315,333.842,1.698,70.794,22.811,4.257,37,0,Medium
WDG4-1001,WDG4,NR,2014,138,174,80,91.105,2.939,2.416,90.321,80.644,62.983,889.843,330.625,1.562,74.094,23.957,3.888,36,0,Medium
WDG4-1001,WDG4,NR,2014,139,174,82,83.518,3.112,2.857,91.023,84.073,59.641,871.312,323.504,1.628,66.986,23.414,3.86,35,0,Medium
WDG4-1001,WDG4,NR,2014,140,174,84,85.045,3.539,2.491,93.693,79.891,64.929,861.925,343.605,1.702,74.464,23.552,4.072,34,0,Medium
WDG4-1001,WDG4,NR,2014,141,174,86,85.206,3.353,2.454,93.268,78.06,60.213,851.174,310.615,1.691,68.256,23.281,4.355,33,0,Medium
WDG4-1001,WDG4,NR,2014,142,174,88,84.833,3.347,2.854,90.57,82.759,59.166,914.489,340.523,1.635,66.43,23.429,3.671,32,0,Medium
WDG4-1001,WDG4,NR,2014,143,174,90,88.805,3.326,2.123,91.789,76.424,64.467,909.133,320.785,1.667,72.434,23.232,3.959,31,0,Medium
WDG4-1001,WDG4,NR,2014,144,174,92,94.731,2.071,4.258,87.781,90.291,69.84,876.342,357.454,1.161,75.939,22.962,3.645,30,1,High
WDG4-1001,WDG4,NR,2014,145,174,94,94.052,1.94,3.868,85.498,90.363,75.056,842.661,355.925,1.163,78.669,23.057,3.132,29,1,High
WDG4-1001,WDG4,NR,2014,146,174,96,101.468,2.139,4.95,84.862,85.951,70.578,832.525,363.754,1.234,76.822,22.415,3.361,28,1,High
WDG4-1001,WDG4,NR,2014,147,174,98,106.316,2.375,4.573,87.474,88.823,63.381,849.376,356.837,1.113,69.843,21.754,3.557,27,1,High
WDG4-1001,WDG4,NR,2014,148,174,100,103.129,2.265,5.079,87.762,85.587,72.193,882.647,361.984,1.312,67.442,22.703,3.181,26,1,High
WDG4-1001,WDG4,NR,2014,149,174,102,101.249,2.528,4.487,86.406,90.636,71.966,860.171,354.531,1.198,73.126,22.076,3.173,25,1,High
WDG4-1001,WDG4,NR,2014,150,174,104,103.798,2.423,5.044,86.837,86.612,69.509,857.542,350.14,1.096,73.784,22.946,3.169,24,1,High
WDG4-1001,WDG4,NR,2014,151,174,106,107.219,2.349,3.74,87.217,91.02,71.081,860.861,355.389,1.305,70.302,22.421,3.139,23,1,High
WDG4-1001,WDG4,NR,2014,152,174,108,97.324,2.15,5.004,87.823,89.347,68.917,848.99,369.13,1.183,60.871,22.868,3.468,22,1,High
WDG4-1001,WDG4,NR,2014,153,174,110,105.189,2.106,5.42,83.529,89.01,76.168,851.989,375.368,1.093,67.212,22.471,3.209,21,1,High
WDG4-1001,WDG4,NR,2014,154,174,112,105.788,2.448,5.164,86.341,88.105,71.164,876.962,362.438,1.141,73.453,21.939,3.148,20,1,High
WDG4-1001,WDG4,NR,2014,155,174,114,102.594,2.14,5.325,82.004,89.771,76.818,876.897,371.496,1.169,74.012,21.688,2.968,19,1,High
WDG4-1001,WDG4,NR,2014,156,174,116,107.609,2.139,5.734,83.626,90.362,76.651,841.462,352.702,1.096,69.625,21.621,3.446,18,1,High
WDG4-1001,WDG4,NR,2014,157,174,118,107.165,2.117,5.155,82.709,86.946,76.861,852.14,383.189,1.09,72.433,22.243,2.621,17,1,High
WDG4-1001,WDG4,NR,2014,158,174,120,113.697,1.889,4.98,84.819,94.034,75.456,861.762,360.393,1.02,69.824,21.555,2.952,16,1,High
WDG4-1001,WDG4,NR,2014,159,174,122,104.276,2.107,5.812,84.419,92.514,78.497,843.257,369.436,0.918,77.527,21.326,3.121,15,1,High
WDG4-1001,WDG4,NR,2014,160,174,124,110.855,1.75,6.278,82.652,93.745,72.945,829.58,375.431,0.984,80.434,22.765,2.909,14,1,High
WDG4-1001,WDG4,NR,2014,161,174,126,109.15,1.837,5.727,83.273,92.502,77.673,856.594,368.004,0.979,82.983,21.603,3.427,13,1,High
WDG4-1001,WDG4,NR,2014,162,174,128,111.29,2.074,6.37,81.452,94.377,80.805,817.538,363.716,0.856,77.978,21.863,2.517,12,1,High
WDG4-1001,WDG4,NR,2014,163,174,130,110.538,1.564,6.589,80.602,95.054,79.448,797.405,381.313,0.907,81.693,21.536,2.944,11,1,High
WDG4-1001,WDG4,NR,2014,164,174,132,119.067,1.268,7.108,77.201,95.989,79.814,830.891,385.985,0.86,70.876,21.333,2.726,10,1,Critical
WDG4-1001,WDG4,NR,2014,165,174,134,116.021,1.361,6.718,81.19,98.247,84.997,825.225,394.0,0.908,77.52,20.905,2.413,9,1,Critical
WDG4-1001,WDG4,NR,2014,166,174,136,119.432,1.748,7.123,79.675,98.308,83.697,818.271,396.995,0.753,67.425,20.448,2.543,8,1,Critical
WDG4-1001,WDG4,NR,2014,167,174,138,117.155,1.444,7.706,77.379,99.771,86.744,798.85,382.539,0.723,74.745,21.218,2.606,7,1,Critical
WDG4-1001,WDG4,NR,2014,168,174,140,118.408,1.197,7.856,78.418,100.503,83.137,780.494,396.803,0.791,60.097,20.718,2.761,6,1,Critical
WDG4-1001,WDG4,NR,2014,169,174,142,123.693,1.375,7.686,77.942,103.403,88.882,803.869,412.641,0.62,82.201,20.62,2.891,5,1,Critical
WDG4-1001,WDG4,NR,2014,170,174,144,133.91,1.297,8.656,75.052,105.045,87.299,792.337,409.388,0.747,78.527,21.438,2.665,4,1,Critical
WDG4-1001,WDG4,NR,2014,171,174,146,128.726,1.157,8.506,76.022,103.234,87.746,764.402,419.227,0.558,67.752,20.126,2.937,3,1,Critical
